FLORIDA CANCER AFFILIATES - TAMPA BAY AND OCALA ,,,,,,,,,,,,,,,,,,,,,,,,
Payor Details,,,,Claim Deadlines,,,Prior Authorizations,,,,,,Payment Basis,,,Fee Schedule,,,,,,,,
Name of Payor,Payor Products - Indicate Name of Plan,FSC,Plan Type,Initial Claim Filing Time Limit,Payment,Claim Appeal Filing Limit,Referrals Needed?,Precertification/Autorization,PreAuth/PreApproval,,Lab in      Office     Yes/No (1),Name of Reference Lab,Advanced Practice Providers (Nurse Practitioner/Physician Assistant) May Bill Payer Without Supervising Physician On Site,Required to Bill in Advanced Practice Provider's Name,Advanced Practice Provider Reimbursement,Reimbursement,,,Termination,In-House Pharmacy,Flow Cytometry,Comments ,,
,,,,,,,,,Radiation,Diagnostics,,,,,,MED ONC/UROL,RAD ONC,DRUGS,W/O CAUSE,,,,,
Aetna Health,,"369. 315, 606, 300, 317, 350","HMO, PPO, POS, US Access, Open Access, all Choice Plans, Exchange",90 DAYS,,,,,Y,Y,Y,LabCorp & Quest,,,,110% MCR,110% MCR,110% MCR,90 days,Under Negotiations,Pending,Flat rate CT/Pet- use Med Solutions; drug FS based on AWP,,
Aetna Medicare,,"361, 142, 701, 124",Medicare,90 DAYS,,,,,Y,Y,Y,LabCorp & Quest,,,,110% MCR,110% MCR,110% MCR,,Under Negotiations,Pending,,,
Amerigroup - FCA only,,866,Medicaid. Florida Healthy Kids,180 DAYS,,,,,Y,N,N,LabCorp & Quest,,,,100% MCD,100% MCD,100% MCD,90 days,Under Negotiations,Pending,,,
AvMed Health Plans- Ocala,,"694, 693","HMO, Medicare",90 DAYS,,,,,Y,Y,Y,Quest,,,,130% MCR,130% MCR,130% MCR,60 days,Under Negotiations,Pending,Labs 130% MCR,,
BCBS - Health Options,,"655, 634, 882, 639, 885",HMO and Exchange,90 DAYS,,,,,Y,Y,Limited,Quest,,,,45.0833 CF Loc 99,45.0833 CF Loc 99,"90% AWP Chemo, 100% AWP All Other Drugs",60 days,Under Negotiations,Pending,* Some newer drugs have different rates.   IVIG allowed @ 82.5% AWP       In-House labs @ 78% Lab fee Loc 99,,
Florida Blue,,"635, 636, 639, 886, 384, 348, 885, 881, 523","Traditional, Blue Care HMO, Blue Choice Preferred, FEP, Blue Card, Blue Options, Network Blue, Exchange",90 DAYS,,,,,Y,Y,Limited,Quest,,,,45.0833 CF Loc 99,45.0833 CF Loc 99,"90% AWP Chemo, 100% AWP All Other Drugs",90 days,Under Negotiations,Pending,,,
Blue Medicare ,,887,"PPO, HMO",90 DAYS,,,,,Y,Y,Limited,Quest,,,,100% Current CMS - Loc 3,100% Current CMS - Loc 3,100% MCR Loc 3 (Ft. Lauderdale),,Under Negotiations,Pending,78% Current CMS-for Labs,,
Blue Select - Only Drs. Caradonna and Hochman are par,,,Blue Select,90 DAYS,,,,,Y,Y,Limited,Quest,,,,FS Pending,FS Pending,FS Pending,,,,,,
BCBS - Discount Plans,,883,Discount,90 DAYS,,,,,Y,Y,Limited,Quest,,,,Allowed @45.0833 CF Loc 99,Allowed @45.0833 CF Loc 99,"Allowed @ 90% AWP Chemo, 100% Other *",,Under Negotiations,Pending,Pays flat rate (usually $50.00) pt responsible for balance,,
